"Date","variable","value"
"2016-04-02","BTC",420.872986
"2016-04-03","BTC",420.903992
"2016-04-04","BTC",421.444
"2016-04-05","BTC",424.029999
"2016-04-06","BTC",423.412994
"2016-04-07","BTC",422.744995
"2016-04-08","BTC",420.348999
"2016-04-09","BTC",419.411011
"2016-04-10","BTC",421.563995
"2016-04-11","BTC",422.483002
"2016-04-12","BTC",425.190002
"2016-04-13","BTC",423.734009
"2016-04-14","BTC",424.282013
"2016-04-15","BTC",429.713013
"2016-04-16","BTC",430.571991
"2016-04-17","BTC",427.398987
"2016-04-18","BTC",428.591003
"2016-04-19","BTC",435.509003
"2016-04-20","BTC",441.389008
"2016-04-21","BTC",449.424988
"2016-04-22","BTC",445.737
"2016-04-23","BTC",450.282013
"2016-04-24","BTC",458.554993
"2016-04-25","BTC",461.425995
"2016-04-26","BTC",466.088989
"2016-04-27","BTC",444.687012
"2016-04-28","BTC",449.010986
"2016-04-29","BTC",455.096985
"2016-04-30","BTC",448.317993
"2016-05-01","BTC",451.875
"2016-05-02","BTC",444.669006
"2016-05-03","BTC",450.303986
"2016-05-04","BTC",446.721985
"2016-05-05","BTC",447.976013
"2016-05-06","BTC",459.602997
"2016-05-07","BTC",458.536011
"2016-05-08","BTC",458.548004
"2016-05-09","BTC",460.483002
"2016-05-10","BTC",450.894989
"2016-05-11","BTC",452.727997
"2016-05-12","BTC",454.765991
"2016-05-13","BTC",455.670013
"2016-05-14","BTC",455.67099
"2016-05-15","BTC",457.567993
"2016-05-16","BTC",454.162994
"2016-05-17","BTC",453.78299
"2016-05-18","BTC",454.618988
"2016-05-19","BTC",438.714996
"2016-05-20","BTC",442.675995
"2016-05-21","BTC",443.187988
"2016-05-22","BTC",439.322998
"2016-05-23","BTC",444.154999
"2016-05-24","BTC",445.980988
"2016-05-25","BTC",449.598999
"2016-05-26","BTC",453.384003
"2016-05-27","BTC",473.463989
"2016-05-28","BTC",530.039978
"2016-05-29","BTC",526.232971
"2016-05-30","BTC",533.864014
"2016-05-31","BTC",531.385986
"2016-06-01","BTC",536.919983
"2016-06-02","BTC",537.971985
"2016-06-03","BTC",569.19397
"2016-06-04","BTC",572.72699
"2016-06-05","BTC",574.97699
"2016-06-06","BTC",585.536987
"2016-06-07","BTC",576.596985
"2016-06-08","BTC",581.64502
"2016-06-09","BTC",574.630005
"2016-06-10","BTC",577.469971
"2016-06-11","BTC",606.72699
"2016-06-12","BTC",672.783997
"2016-06-13","BTC",704.375977
"2016-06-14","BTC",685.559021
"2016-06-15","BTC",694.468994
"2016-06-16","BTC",766.307983
"2016-06-17","BTC",748.908997
"2016-06-18","BTC",756.22699
"2016-06-19","BTC",763.781006
"2016-06-20","BTC",737.226013
"2016-06-21","BTC",666.651978
"2016-06-22","BTC",596.116028
"2016-06-23","BTC",623.97699
"2016-06-24","BTC",665.299011
"2016-06-25","BTC",665.122986
"2016-06-26","BTC",629.367004
"2016-06-27","BTC",655.275024
"2016-06-28","BTC",647.000977
"2016-06-29","BTC",639.890015
"2016-06-30","BTC",673.336975
"2016-07-01","BTC",676.296021
"2016-07-02","BTC",703.702026
"2016-07-03","BTC",658.664001
"2016-07-04","BTC",683.661987
"2016-07-05","BTC",670.627014
"2016-07-06","BTC",677.330994
"2016-07-07","BTC",640.562012
"2016-07-08","BTC",666.52301
"2016-07-09","BTC",650.960022
"2016-07-10","BTC",649.359985
"2016-07-11","BTC",647.658997
"2016-07-12","BTC",664.551025
"2016-07-13","BTC",654.468018
"2016-07-14","BTC",658.078003
"2016-07-15","BTC",663.255005
"2016-07-16","BTC",660.767029
"2016-07-17","BTC",679.458984
"2016-07-18","BTC",673.106018
"2016-07-19","BTC",672.864014
"2016-07-20","BTC",665.684998
"2016-07-21","BTC",665.012024
"2016-07-22","BTC",650.619019
"2016-07-23","BTC",655.55603
"2016-07-24","BTC",661.284973
"2016-07-25","BTC",654.096985
"2016-07-26","BTC",651.783997
"2016-07-27","BTC",654.35199
"2016-07-28","BTC",655.034973
"2016-07-29","BTC",656.992004
"2016-07-30","BTC",655.046997
"2016-07-31","BTC",624.68103
"2016-08-01","BTC",606.271973
"2016-08-02","BTC",547.465027
"2016-08-03","BTC",566.35498
"2016-08-04","BTC",578.289001
"2016-08-05","BTC",575.04303
"2016-08-06","BTC",587.778015
"2016-08-07","BTC",592.690002
"2016-08-08","BTC",591.054016
"2016-08-09","BTC",587.801025
"2016-08-10","BTC",592.103027
"2016-08-11","BTC",589.119995
"2016-08-12","BTC",587.559021
"2016-08-13","BTC",585.588013
"2016-08-14","BTC",570.473022
"2016-08-15","BTC",567.23999
"2016-08-16","BTC",577.439026
"2016-08-17","BTC",573.216003
"2016-08-18","BTC",574.317993
"2016-08-19","BTC",575.630005
"2016-08-20","BTC",581.697021
"2016-08-21","BTC",581.307983
"2016-08-22","BTC",586.752991
"2016-08-23","BTC",583.414978
"2016-08-24","BTC",580.182007
"2016-08-25","BTC",577.760986
"2016-08-26","BTC",579.651001
"2016-08-27","BTC",569.947021
"2016-08-28","BTC",573.911987
"2016-08-29","BTC",574.106995
"2016-08-30","BTC",577.502991
"2016-08-31","BTC",575.471985
"2016-09-01","BTC",572.302979
"2016-09-02","BTC",575.536987
"2016-09-03","BTC",598.211975
"2016-09-04","BTC",608.633972
"2016-09-05","BTC",606.590027
"2016-09-06","BTC",610.435974
"2016-09-07","BTC",614.544006
"2016-09-08","BTC",626.315979
"2016-09-09","BTC",622.861023
"2016-09-10","BTC",623.508972
"2016-09-11","BTC",606.718994
"2016-09-12","BTC",608.242981
"2016-09-13","BTC",609.241028
"2016-09-14","BTC",610.684021
"2016-09-15","BTC",607.155029
"2016-09-16","BTC",606.973022
"2016-09-17","BTC",605.984009
"2016-09-18","BTC",609.874023
"2016-09-19","BTC",609.22699
"2016-09-20","BTC",608.312012
"2016-09-21","BTC",597.148987
"2016-09-22","BTC",596.297974
"2016-09-23","BTC",602.84198
"2016-09-24","BTC",602.625
"2016-09-25","BTC",600.825989
"2016-09-26","BTC",608.04303
"2016-09-27","BTC",606.166016
"2016-09-28","BTC",604.728027
"2016-09-29","BTC",605.692993
"2016-09-30","BTC",609.734985
"2016-10-01","BTC",613.982971
"2016-10-02","BTC",610.892029
"2016-10-03","BTC",612.132996
"2016-10-04","BTC",610.203979
"2016-10-05","BTC",612.510986
"2016-10-06","BTC",613.020996
"2016-10-07","BTC",617.120972
"2016-10-08","BTC",619.107971
"2016-10-09","BTC",616.752014
"2016-10-10","BTC",618.994019
"2016-10-11","BTC",641.072021
"2016-10-12","BTC",636.192017
"2016-10-13","BTC",636.786011
"2016-10-14","BTC",640.377991
"2016-10-15","BTC",638.645996
"2016-10-16","BTC",641.630981
"2016-10-17","BTC",639.192993
"2016-10-18","BTC",637.960022
"2016-10-19","BTC",630.52002
"2016-10-20","BTC",630.856995
"2016-10-21","BTC",632.828003
"2016-10-22","BTC",657.294006
"2016-10-23","BTC",657.070984
"2016-10-24","BTC",653.760986
"2016-10-25","BTC",657.588013
"2016-10-26","BTC",678.304016
"2016-10-27","BTC",688.312988
"2016-10-28","BTC",689.651001
"2016-10-29","BTC",714.479004
"2016-10-30","BTC",701.864014
"2016-10-31","BTC",700.971985
"2016-11-01","BTC",729.79303
"2016-11-02","BTC",740.828979
"2016-11-03","BTC",688.700012
"2016-11-04","BTC",703.234985
"2016-11-05","BTC",703.41803
"2016-11-06","BTC",711.521973
"2016-11-07","BTC",703.130981
"2016-11-08","BTC",709.848022
"2016-11-09","BTC",723.27301
"2016-11-10","BTC",715.533997
"2016-11-11","BTC",716.411011
"2016-11-12","BTC",705.054016
"2016-11-13","BTC",702.031006
"2016-11-14","BTC",705.020996
"2016-11-15","BTC",711.619019
"2016-11-16","BTC",744.197998
"2016-11-17","BTC",740.97699
"2016-11-18","BTC",751.585022
"2016-11-19","BTC",751.616028
"2016-11-20","BTC",731.026001
"2016-11-21","BTC",739.247986
"2016-11-22","BTC",751.346985
"2016-11-23","BTC",744.593994
"2016-11-24","BTC",740.289001
"2016-11-25","BTC",741.648987
"2016-11-26","BTC",735.382019
"2016-11-27","BTC",732.034973
"2016-11-28","BTC",735.812988
"2016-11-29","BTC",735.604004
"2016-11-30","BTC",745.690979
"2016-12-01","BTC",756.773987
"2016-12-02","BTC",777.94397
"2016-12-03","BTC",771.155029
"2016-12-04","BTC",773.872009
"2016-12-05","BTC",758.700012
"2016-12-06","BTC",764.223999
"2016-12-07","BTC",768.132019
"2016-12-08","BTC",770.809998
"2016-12-09","BTC",772.794006
"2016-12-10","BTC",774.650024
"2016-12-11","BTC",769.731018
"2016-12-12","BTC",780.086975
"2016-12-13","BTC",780.55603
"2016-12-14","BTC",781.481018
"2016-12-15","BTC",778.088013
"2016-12-16","BTC",784.906982
"2016-12-17","BTC",790.828979
"2016-12-18","BTC",790.530029
"2016-12-19","BTC",792.713989
"2016-12-20","BTC",800.875977
"2016-12-21","BTC",834.281006
"2016-12-22","BTC",864.539978
"2016-12-23","BTC",921.984009
"2016-12-24","BTC",898.822021
"2016-12-25","BTC",896.182983
"2016-12-26","BTC",907.609985
"2016-12-27","BTC",933.197998
"2016-12-28","BTC",975.921021
"2016-12-29","BTC",973.497009
"2016-12-30","BTC",961.237976
"2016-12-31","BTC",963.742981
"2017-01-01","BTC",998.325012
"2017-01-02","BTC",1021.75
"2017-01-03","BTC",1043.839966
"2017-01-04","BTC",1154.72998
"2017-01-05","BTC",1013.380005
"2017-01-06","BTC",902.200989
"2017-01-07","BTC",908.585022
"2017-01-08","BTC",911.198975
"2017-01-09","BTC",902.828003
"2017-01-10","BTC",907.679016
"2017-01-11","BTC",777.757019
"2017-01-12","BTC",804.833984
"2017-01-13","BTC",823.984009
"2017-01-14","BTC",818.411987
"2017-01-15","BTC",821.797974
"2017-01-16","BTC",831.533997
"2017-01-17","BTC",907.937988
"2017-01-18","BTC",886.617981
"2017-01-19","BTC",899.072998
"2017-01-20","BTC",895.026001
"2017-01-21","BTC",921.789001
"2017-01-22","BTC",924.672974
"2017-01-23","BTC",921.012024
"2017-01-24","BTC",892.687012
"2017-01-25","BTC",901.541992
"2017-01-26","BTC",917.585999
"2017-01-27","BTC",919.75
"2017-01-28","BTC",921.590027
"2017-01-29","BTC",919.495972
"2017-01-30","BTC",920.382019
